final_product,item_origin,ghg_Gt
Leather and leather products (19),Additives/Blending Components,9.6625e-07
Leather and leather products (19),Air transport services (62),1.7751e-07
Leather and leather products (19),Aluminium and aluminium products,4.3816e-07
Leather and leather products (19),Aluminium ores and concentrates,4.5224e-07
Leather and leather products (19),Anthracite,1.648e-07
Leather and leather products (19),Aviation Gasoline,2.013e-07
Leather and leather products (19),BKB/Peat Briquettes,3.1089e-07
Leather and leather products (19),Basic iron and steel and of ferro-alloys and first products thereof,1.4093e-07
Leather and leather products (19),Beverages,8.537e-08
Leather and leather products (19),Biodiesels,2.6138e-07
Leather and leather products (19),Biogas,5.0535e-07
Leather and leather products (19),Biogasoline,1.7198e-07
Leather and leather products (19),Bitumen,1.4026e-07
Leather and leather products (19),Blast Furnace Gas,7.6227e-07
Leather and leather products (19),"Bricks, tiles and construction products, in baked clay",1.6165e-07
Leather and leather products (19),"Cement, lime and plaster",2.9493e-07
Leather and leather products (19),Ceramic goods,6.461e-08
Leather and leather products (19),Charcoal,3.1117e-07
Leather and leather products (19),"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",3.8094e-07
Leather and leather products (19),Chemicals nec,1.3803e-07
Leather and leather products (19),Coal Tar,6.5587e-07
Leather and leather products (19),Coke Oven Coke,7.7561e-07
Leather and leather products (19),Coke oven gas,5.2249e-07
Leather and leather products (19),Coking Coal,8.5149e-07
Leather and leather products (19),"Collected and purified water, distribution services of water (41)",1.2829e-07
Leather and leather products (19),Computer and related services (72),1.093e-08
Leather and leather products (19),Construction work (45),3.11e-09
Leather and leather products (19),Copper ores and concentrates,1.19125e-06
Leather and leather products (19),Copper products,4.387e-08
Leather and leather products (19),"Crude petroleum and services related to crude oil extraction, excluding surveying",1.380596e-05
Leather and leather products (19),Dairy products,1.374e-08
Leather and leather products (19),Distribution and trade services of electricity,1.632e-08
Leather and leather products (19),Distribution services of gaseous fuels through mains,1.05855e-06
Leather and leather products (19),Education services (80),2.8e-10
Leather and leather products (19),Electrical machinery and apparatus n.e.c. (31),2.339e-08
Leather and leather products (19),Electricity by Geothermal,2.310963e-05
Leather and leather products (19),Electricity by biomass and waste,3.12724e-06
Leather and leather products (19),Electricity by coal,5.14325e-06
Leather and leather products (19),Electricity by gas,1.45556e-06
Leather and leather products (19),Electricity by hydro,1.3481e-07
Leather and leather products (19),Electricity by nuclear,3.721e-08
Leather and leather products (19),Electricity by petroleum and other oil derivatives,1.25804e-06
Leather and leather products (19),Electricity by solar photovoltaic,7.23795e-06
Leather and leather products (19),Electricity by solar thermal,0.08012521313
Leather and leather products (19),"Electricity by tide, wave, ocean",0.09426639975
Leather and leather products (19),Electricity by wind,2.91791e-06
Leather and leather products (19),Electricity nec,1.47846e-06
Leather and leather products (19),Ethane,4.980056e-05
Leather and leather products (19),"Fabricated metal products, except machinery and equipment (28)",2.215e-08
Leather and leather products (19),"Financial intermediation services, except insurance and pension funding services (65)",1.527e-08
Leather and leather products (19),Fish and other fishing products; services incidental of fishing (05),6.066e-08
Leather and leather products (19),Fish products,1.7748e-07
Leather and leather products (19),Food products nec,1.848e-08
Leather and leather products (19),Food waste for treatment: biogasification and land application,8.778e-08
Leather and leather products (19),Food waste for treatment: composting and land application,1.669e-07
Leather and leather products (19),Food waste for treatment: incineration,1.3923e-07
Leather and leather products (19),Food waste for treatment: landfill,7.09569e-06
Leather and leather products (19),Food waste for treatment: waste water treatment,5.681e-07
Leather and leather products (19),Foundry work services,1.0573e-07
Leather and leather products (19),Furniture; other manufactured goods n.e.c. (36),1.675e-08
Leather and leather products (19),Gas Coke,5.69e-09
Leather and leather products (19),Gas Works Gas,3.69406e-06
Leather and leather products (19),Gas/Diesel Oil,1.4702e-07
Leather and leather products (19),Gasoline Type Jet Fuel,0.006487554
Leather and leather products (19),Glass and glass products,1.7396e-07
Leather and leather products (19),Health and social work services (85),1.6e-10
Leather and leather products (19),Heavy Fuel Oil,1.944e-07
Leather and leather products (19),Hotel and restaurant services (55),3.49e-09
Leather and leather products (19),Inert/metal/hazardous waste for treatment: landfill,3.399e-08
Leather and leather products (19),Inland water transportation services,5.97394e-06
Leather and leather products (19),"Insurance and pension funding services, except compulsory social security services (66)",2.053e-08
Leather and leather products (19),Intert/metal waste for treatment: incineration,5.035e-07
Leather and leather products (19),Iron ores,2.158762e-05
Leather and leather products (19),Kerosene,1.35824e-06
Leather and leather products (19),Kerosene Type Jet Fuel,8.349e-08
Leather and leather products (19),"Lead, zinc and tin and products thereof",4.8364e-07
Leather and leather products (19),"Lead, zinc and tin ores and concentrates",1.20377e-06
Leather and leather products (19),Leather and leather products (19),6.75381e-06
Leather and leather products (19),Lignite/Brown Coal,2.2597804989
Leather and leather products (19),Liquefied Petroleum Gases (LPG),1.8995e-07
Leather and leather products (19),Lubricants,1.8095e-07
Leather and leather products (19),Machinery and equipment n.e.c. (29),4.35e-09
Leather and leather products (19),Meat products nec,8.589e-08
Leather and leather products (19),"Medical, precision and optical instruments, watches and clocks (33)",9.12e-09
Leather and leather products (19),Membership organisation services n.e.c. (91),2.59e-09
Leather and leather products (19),Motor Gasoline,6.497e-08
Leather and leather products (19),"Motor vehicles, trailers and semi-trailers (34)",3.58e-09
Leather and leather products (19),N-fertiliser,1.85403e-06
Leather and leather products (19),Naphtha,3.883e-07
Leather and leather products (19),Natural Gas Liquids,7.0105e-07
Leather and leather products (19),"Natural gas and services related to natural gas extraction, excluding surveying",1.697274e-05
Leather and leather products (19),Nickel ores and concentrates,1.354829e-05
Leather and leather products (19),Non-specified Petroleum Products,3.1537e-07
Leather and leather products (19),Nuclear fuel,4.627815e-05
Leather and leather products (19),Office machinery and computers (30),9.75e-09
Leather and leather products (19),Oil/hazardous waste for treatment: incineration,2.4133e-07
Leather and leather products (19),Other Bituminous Coal,7.6896e-07
Leather and leather products (19),Other Hydrocarbons,2.8272e-07
Leather and leather products (19),Other Liquid Biofuels,0.00039041988
Leather and leather products (19),Other business services (74),3.688e-08
Leather and leather products (19),Other land transportation services,1.86e-08
Leather and leather products (19),Other non-ferrous metal ores and concentrates,5.11136e-06
Leather and leather products (19),Other non-ferrous metal products,2.5245e-07
Leather and leather products (19),Other non-metallic mineral products,1.6634e-07
Leather and leather products (19),Other services (93),3.69e-09
Leather and leather products (19),Other transport equipment (35),1.809e-08
Leather and leather products (19),Other waste for treatment: waste water treatment,6.0201e-07
Leather and leather products (19),Oxygen Steel Furnace Gas,1.6702e-06
Leather and leather products (19),P- and other fertiliser,4.1659e-07
Leather and leather products (19),Paper and paper products,9.597e-08
Leather and leather products (19),Paper and wood waste for treatment: composting and land application,5.535e-08
Leather and leather products (19),Paper for treatment: landfill,2.17661e-06
Leather and leather products (19),Paper waste for treatment: biogasification and land application,2.6974e-07
Leather and leather products (19),Paper waste for treatment: incineration,7.285e-08
Leather and leather products (19),Paraffin Waxes,2.3666e-07
Leather and leather products (19),Patent Fuel,0.00019974616
Leather and leather products (19),Peat,2.8797e-07
Leather and leather products (19),Petroleum Coke,1.8655e-07
Leather and leather products (19),Plastic waste for treatment: incineration,1.25646e-06
Leather and leather products (19),Plastic waste for treatment: landfill,6.7723e-07
Leather and leather products (19),"Plastics, basic",5.5957e-07
Leather and leather products (19),Post and telecommunication services (64),1.063e-08
Leather and leather products (19),Precious metal ores and concentrates,1.908046e-05
Leather and leather products (19),Precious metals,1.2386e-07
Leather and leather products (19),Printed matter and recorded media (22),1.817e-08
Leather and leather products (19),Private households with employed persons (95),3.82e-09
Leather and leather products (19),Processed rice,1.1419e-07
Leather and leather products (19),"Products of forestry, logging and related services (02)",1.1198e-07
Leather and leather products (19),Products of meat cattle,3.368e-08
Leather and leather products (19),Products of meat pigs,6.368e-08
Leather and leather products (19),Products of meat poultry,1.328e-08
Leather and leather products (19),Public administration and defence services; compulsory social security services (75),2.6e-10
Leather and leather products (19),Pulp,3.1695e-07
Leather and leather products (19),"Radio, television and communication equipment and apparatus (32)",1.191e-08
Leather and leather products (19),Railway transportation services,4.544e-08
Leather and leather products (19),Real estate services (70),7.83e-09
