consumer,origin,input,input_group,product,input_category,cropland_m2,blue_water_m3,ghg_kg,biodiv,n_application_kg,p_application_kg
EU-27,ASI,Wheat and products,Cereals,Textiles (17),other crops,0.961893554592377,0.227779724444771,0.000248879842372382,5.58926682571232e-13,0.0135221627514315,0.00302381502754783
EU-27,ASI,Barley and products,Cereals,Textiles (17),other crops,0.048352140075587,0.00339593348218851,5.86384669181307e-06,2.85438063822757e-14,0.000110080883583019,1.90418775127686e-05
EU-27,ASI,Maize and products,Cereals,Textiles (17),other crops,0.198475599992879,0.0246320532876874,9.55792751520843e-05,2.15039431493245e-13,0.00186085826895931,0.000185163838286454
EU-27,ASI,Oats,Cereals,Textiles (17),other crops,0.00095869094914251,0.000271350813385476,8.79783874285724e-08,2.08342513069893e-16,9.44898092398237e-07,1.41887695147017e-07
EU-27,ASI,"Cereals, Other",Cereals,Textiles (17),other crops,0.0011336056456978,9.12734330383548e-05,1.63029747220119e-07,5.22870398611866e-16,1.30263143011784e-06,2.06767129966938e-07
EU-27,ASI,Potatoes and products,Roots and tubers,Textiles (17),other crops,0.00820189394928479,0.00140883143288775,2.40188563374596e-06,2.89876652765487e-14,6.47275449615662e-05,9.61986481853334e-06
EU-27,ASI,Sugar beet,Sugar crops,Textiles (17),other crops,0.000605967178515108,8.11525118933816e-05,5.33443883244879e-08,4.20122834560579e-16,2.73945456001436e-06,2.1616325718524e-07
EU-27,ASI,"Pulses, Other and products","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.00497860685399464,0.000114275637943929,3.99192042104524e-07,9.11163369893443e-15,1.56971412135613e-05,5.53280459279086e-06
EU-27,ASI,Nuts and products,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.00147648685383178,2.63468661775719e-05,3.0059000536833e-06,3.59261473901214e-14,1.62358178705191e-06,1.39074889231795e-07
EU-27,ASI,Tomatoes and products,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,2.01148106651684e-07,9.9719505911212e-08,5.03066741473956e-11,3.79627684067856e-19,7.46639726583588e-10,3.40334594248691e-11
EU-27,ASI,"Vegetables, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.000717988185384831,5.86128030383478e-05,1.72116551147236e-07,4.48092652102425e-16,1.07311065043519e-05,1.67810963645045e-06
EU-27,ASI,Apples and products,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.00175449270801196,0.00146931514797477,3.97567186974851e-07,1.20039977685013e-15,8.85051566988392e-06,1.07494058334073e-06
EU-27,ASI,Grapes and products (excl wine),"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.00011504312478966,3.34745059150066e-05,1.3867552607915e-08,1.23037714268579e-16,4.94087812150685e-07,5.71395419580026e-08
EU-27,ASI,"Fruits, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.00456610261383373,0.00184599209389012,1.51885876461163e-06,9.43396008704115e-15,1.92306072075449e-05,4.27517848054739e-06
EU-27,ASI,Tobacco,"Tobacco, rubber",Textiles (17),other crops,0.00394967448798904,0.00017690254589909,1.33756617917641e-06,6.13424697822773e-15,3.95391593611698e-05,8.87484625646568e-06
EU-27,ASI,Fodder crops,Fodder crops,Textiles (17),other crops,0.036117513591306,0.00258232174896381,1.96762797392018e-05,6.2264413482458e-14,0.000285892990481317,5.00391116401468e-05
EU-27,ASI,Grazing,Grazing,Textiles (17),other crops,0,0,1.53927119856775e-05,2.02922139314612e-12,0.000797496700864446,0.000148346838828816
EU-27,ASI,"Sweeteners, Other","Sugar, sweeteners",Textiles (17),other crops,0.000168888882696412,0,4.57620862978784e-06,9.14649020603857e-16,0,0
EU-27,ASI,Sunflowerseed Oil,Vegetable oils,Textiles (17),other crops,0,0,2.11519484720708e-06,0,0,0
EU-27,ASI,Sunflowerseed Cake,Oil cakes,Textiles (17),other crops,0,0,1.73444698813281e-08,0,0,0
EU-27,ASI,Wine,Alcohol,Textiles (17),other crops,0,0,3.66150825892894e-10,0,0,0
EU-27,ASI,"Beverages, Alcoholic",Alcohol,Textiles (17),other crops,0,0,5.10797576609216e-08,0,0,0
EU-27,ASI,"Alcohol, Non-Food",Ethanol,Textiles (17),other crops,0,0,4.53517652424793e-05,0,0,0
EU-27,ASI,Cattle,Live animals,Textiles (17),animal-based,0,0.0035323540682167,0.000117803406164129,0,0,0
EU-27,ASI,Sheep,Live animals,Textiles (17),animal-based,0,0.00161830906606554,0.000237543574175843,0,0,0
EU-27,ASI,Goats,Live animals,Textiles (17),animal-based,0,6.65162226111671e-05,1.43362737344618e-05,0,0,0
EU-27,ASI,Horses,Live animals,Textiles (17),animal-based,0,7.97445100741856e-06,6.32754559971248e-07,0,0,0
EU-27,ASI,Milk - Excluding Butter,Milk,Textiles (17),animal-based,0,0,1.36016963416303e-06,0,0,0
EU-27,ASI,Wool (Clean Eq.),"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,ASI,Bovine Meat,Meat,Textiles (17),animal-based,0,1.08243961411397e-08,0,0,0,0
EU-27,ASI,Hides and skins,"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,ASI,"Fish, Seafood",Fish,Textiles (17),animal-based,0,0,2.94659229772676e-06,0,0,0
EU-27,ASI,Sugar cane,Sugar crops,Textiles (17),other crops,0.0360023563864638,0.0346526555865007,1.09354031006564e-05,6.16208993651081e-14,0.000362457918125668,5.10971436744274e-05
EU-27,ASI,Sunflower seed,Oil crops,Textiles (17),other crops,0.10919914860002,0.000946305170212255,1.72261500742782e-05,2.20371845489055e-14,0.000129867688564253,1.62317167213249e-05
EU-27,ASI,Seed cotton,Oil crops,Textiles (17),other crops,7.13424047955621,4.12815367229099,0.00126457929641268,5.94059583056393e-12,0.0712293038001636,0.00751889919286871
EU-27,ASI,Sesame seed,Oil crops,Textiles (17),other crops,0.0314931483285061,8.80201045373448e-05,2.46576059398256e-05,6.58248420707789e-14,0.00012699350846909,1.2823652105344e-05
EU-27,ASI,"Oilcrops, Other",Oil crops,Textiles (17),other crops,0.151863841133194,0.0214660984280055,3.29225380152806e-05,2.36665095651309e-13,0,0
EU-27,ASI,Onions,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,1.78522828929727e-05,1.19146920542474e-05,2.60186523653306e-09,2.43080962377289e-18,2.45883041726716e-08,3.64555247525264e-09
EU-27,ASI,"Spices, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,0.00528071967755149,0.000208549916252459,8.26925824260367e-07,1.3631737578519e-14,0,0
EU-27,ASI,Cottonseed,Fibre crops,Textiles (17),fibre crops,0,0,1.77643482905527e-05,0,0,0
EU-27,ASI,Cottonseed Oil,Vegetable oils,Textiles (17),other crops,0,0,5.73695048704675e-07,0,0,0
EU-27,ASI,"Oilcrops Oil, Other",Vegetable oils,Textiles (17),other crops,0,0,1.11135585796576e-05,0,0,0
EU-27,ASI,Cottonseed Cake,Oil cakes,Textiles (17),other crops,0,0,1.78674883624725e-08,0,0,0
EU-27,ASI,Sesameseed Cake,Oil cakes,Textiles (17),other crops,0,0,1.26071433692523e-09,0,0,0
EU-27,ASI,"Oilseed Cakes, Other",Oil cakes,Textiles (17),other crops,0,0,7.64364097074793e-09,0,0,0
EU-27,ASI,Cotton lint,Fibre crops,Textiles (17),fibre crops,0,0,0.00172955653336825,0,0,0
EU-27,ASI,Poultry Birds,Live animals,Textiles (17),animal-based,0,8.07041284343163e-05,4.39876613799017e-06,0,0,0
EU-27,ASI,Camels,Live animals,Textiles (17),animal-based,0,9.09644151122696e-07,2.45327087924537e-07,0,0,0
EU-27,ASI,Eggs,Eggs,Textiles (17),animal-based,0,0,0,0,0,0
EU-27,ASI,"Meat, Other",Meat,Textiles (17),animal-based,0,2.95233029095646e-10,0,0,0,0
EU-27,ASI,Silk,"Hides, skins, wool",Textiles (17),animal-based,0,0,4.06497310303341e-06,0,0,0
EU-27,EUR,Wheat and products,Cereals,Textiles (17),other crops,0.120570120792247,0.00249156269170201,2.16325539491942e-05,1.49672877585424e-13,0.000596969023304807,0.000101156532152547
EU-27,EUR,Barley and products,Cereals,Textiles (17),other crops,0.0516253628052818,0.000240940890074392,6.16142799776994e-06,8.51185754238549e-14,0.000207996875394298,4.66913805603968e-05
EU-27,EUR,Maize and products,Cereals,Textiles (17),other crops,0.118497555530123,0.00894209490540226,1.750448309255e-05,7.18909431835134e-14,0.000542685521316865,4.78498777344175e-05
EU-27,EUR,Oats,Cereals,Textiles (17),other crops,0.00146976344178226,3.71103254217966e-05,2.83081348115826e-07,1.98210610984671e-15,7.85982070044996e-06,1.22833347431073e-06
EU-27,EUR,Potatoes and products,Roots and tubers,Textiles (17),other crops,0.0176986432618683,0.000140224810279369,3.16838270570507e-06,3.4794638825186e-15,4.92652855321897e-05,5.94350106596987e-06
